"headset_type","callbeginuct_dttm","data_location","problem_type","node","location"
Wired,"2019-05-07 19:09:43.997",Office,Call Dropped,"7",QUEZON CITY-
Wired,"2019-05-07 19:34:36.587",Office,Ghost Call,"11",CYPRESS- CA
Wired,"2019-05-07 19:33:29.167",Office,Call Dropped,"9",ORLANDO- FL
Wired,"2019-05-07 19:35:24.543",At home,Ghost Call,"5",MINNEAPOLIS- MN
Wired,"2019-05-07 19:34:15.053",At home,Call Dropped,"19",MINNEAPOLIS- MN
Wired,"2019-05-07 19:24:21.743",Office,Call Dropped,"1",QUEZON CITY-
Wired,"2019-05-07 19:01:30.877",At home,Ghost Call,"6",MINNEAPOLIS- MN
Wired,"2019-05-07 19:35:46.5",Office,Ghost Call,"4",MINNEAPOLIS- MN
Wired,"2019-05-07 19:38:08.913",Office,Ghost Call,"10",MINNEAPOLIS- MN
Wired,"2019-05-07 19:38:25.587",At home,Ghost Call,"6",MINNEAPOLIS- MN
Wired,"2019-05-07 19:06:19.08",Office,Ghost Call,"7",APAS CEBU CITY-
Wired,"2019-05-07 19:09:27.577",Office,Ghost Call,"7",APAS CEBU CITY-
Wireless,"2019-05-07 19:26:59.46",Office,Call Dropped,"7",APAS CEBU CITY-
Wired,"2019-05-07 19:47:52.8",At home,Ghost Call,"5",MINNEAPOLIS- MN
Wireless,"2019-05-07 19:00:12.067",Office,Ghost Call,"19",QUEZON CITY-
Wired,"2019-05-07 19:20:56.733",Office,Ghost Call,"19",QUEZON CITY-
Wired,"2019-05-07 19:44:46.78",Office,Call Dropped,"16",QUEZON CITY-
Wired,"2019-05-07 19:15:40.98",Office,Call Dropped,"16",QUEZON CITY-
Wired,"2019-05-07 19:38:58.767",Office,Ghost Call,"9",PHOENIX- AZ
Wired,"2019-05-07 19:57:22.4",Office,Ghost Call,"19",MINNEAPOLIS- MN
Wired,"2019-05-07 19:15:19.043",At home,Ghost Call,"2",MINNEAPOLIS- MN
Wired,"2019-05-07 19:36:16.69",Office,Ghost Call,"10",MINNEAPOLIS- MN
Wired,"2019-05-07 19:03:57.09",At home,Call Dropped,"2",MINNEAPOLIS- MN
Wired,"2019-05-07 19:07:20.8",Office,Ghost Call,"10",SHERWOOD- AR
Wired,"2019-05-07 19:36:51.84",Office,Call Dropped,"7",TAGUIG CITY-
Wired,"2019-05-07 19:54:57.057",Office,Ghost Call,"11",QUEZON CITY-
Wired,"2019-05-07 19:45:47.823",Office,Ghost Call,"8",PORT ST LUCIE- FL
Wired,"2019-05-07 19:45:52.68",Office,Call Dropped,"7",TAGUIG CITY-
Wired,"2019-05-07 19:04:31.23",At home,Ghost Call,"5",MINNEAPOLIS- MN
Wired,"2019-05-07 19:55:56.253",Office,Call Dropped,"17",JEFFERSONVILLE- IN
Wired,"2019-05-07 19:36:20.07",Office,Ghost Call,"15",CEBU CITY-
Wired,"2019-05-07 19:01:55.16",Office,Ghost Call,"7",MINNETONKA- MN
Wired,"2019-05-07 19:08:56.037",Office,Ghost Call,"6",HOUSTON- TX
Wired,"2019-05-07 19:37:14.033",Office,Ghost Call,"19",MINNETONKA- MN
Wired,"2019-05-07 19:17:02.0",Office,Ghost Call,"7",MINNETONKA- MN
Wired,"2019-05-07 19:06:00.61",Office,Call Dropped,"16",APAS CEBU CITY-
Wired,"2019-05-07 19:11:58.033",At home,Ghost Call,"1",MINNEAPOLIS- MN
Wired,"2019-05-07 19:17:20.537",Office,Ghost Call,"4",GREEN BAY- WI
Wired,"2019-05-07 19:31:03.6",At home,Ghost Call,"5",MINNEAPOLIS- MN
Wired,"2019-05-07 19:13:21.113",At home,Ghost Call,"17",MINNEAPOLIS- MN
Wired,"2019-05-07 19:56:14.593",Office,Ghost Call,"9",PHOENIX- AZ
Wired,"2019-05-07 19:34:23.747",Office,Ghost Call,"7",FREDERICK- MD
Wired,"2019-05-07 19:59:26.297",At home,Call Dropped,"14",MINNEAPOLIS- MN
